dim,gap_type,approach,auroc,fpr95,aupr,spearman,aurc,oracle_aurc,jsd,mi,nlpd,brier
7,sparse,standard_disagreement,0.2694968253968254,0.9692380952380952,0.20938074044184055,0.25371243771243773,0.1867136014721845,0.09236206558785615,0.20879671996051138,0.19040942341771172,0.7091382402433855,0.29640024483737115
8,empty,distance_evidential,0.38523873015873017,0.8428095238095239,0.3166689646121869,-0.058069579269579265,0.4435459745046314,0.15555758950299786,0.4389723994988977,0.4240431332514417,1.1401876424316417,0.3845199361505426
8,empty,standard_disagreement,0.2131526984126984,0.9751904761904763,0.20210190094731093,-0.1234831082831083,0.4514955648138133,0.15555758950299786,0.4026549158025873,0.3892237303289768,1.0439195164747996,0.3345581344343368
8,sparse,distance_evidential,0.3150777777777778,0.8738571428571428,0.2582824389810704,0.1954994718994719,0.21050946434196588,0.09765028095841134,0.39831050363476794,0.39345662239194545,1.0125526532741198,0.40291022387311387
8,sparse,standard_disagreement,0.17371444444444445,0.9876190476190476,0.1887871405681983,0.266601811001811,0.19870489955538842,0.09765028095841134,0.3691924653568525,0.3636919393595493,0.7657636442824038,0.3510632626517451
9,empty,distance_evidential,0.6069895238095239,0.7644761904761904,0.4016264360697577,0.13201874001874,0.3898080192920235,0.1805815415815731,0.16450575688791116,0.14966411191577128,1.1923682594945728,0.38840354410216443
9,empty,standard_disagreement,0.346454126984127,0.9589523809523809,0.23143517119149004,0.022405630805630804,0.42626622161156347,0.1805815415815731,0.12930653713814763,0.11760989973614498,1.0790208841774613,0.3273677541519476
9,sparse,distance_evidential,0.4632812698412698,0.8901904761904762,0.31279362253457627,0.057877544677544676,0.3303291542069955,0.13834399141156128,0.15656887795927663,0.150213413242213,1.1263037220205,0.3903523513777498
9,sparse,standard_disagreement,0.337108253968254,0.9792857142857143,0.2682724873612211,0.15549986909986913,0.3139135349414174,0.13834399141156128,0.22330642936362938,0.21062989902787682,0.9635259668599248,0.3322798763457471
10,empty,distance_evidential,0.3585779365079365,0.8700952380952381,0.29985665157168623,0.01469396615103225,0.3150111569574083,0.1444658147863069,0.4245621393925777,0.4069277118519016,1.0783657720934448,0.35960053815140264
