task,dimension,fid,n_seeds,norm_regret_proposed,norm_regret_baseline,wins,losses,ties,cliffs_delta,raw_p_value,adj_p_value
bbob/32/15/2,32,15,30,0.3987138763566482,0.4192873894061506,20,10,0,-0.05555555555555558,0.6120056137442589,1.0
bbob/32/16/0,16,16,30,0.39828895135394216,0.6395796717436049,26,4,0,-0.6244444444444445,2.0798295736312866e-05,0.0029949545860290527
bbob/32/16/1,16,16,30,0.4897281514830426,0.5817715433491311,18,11,1,-0.21666666666666667,0.1385561420166171,1.0
bbob/32/16/2,16,16,30,0.5246507067701421,0.6640967179925976,21,6,3,-0.34111111111111114,0.0019402769234137046,0.2541762769671953
bbob/32/17/0,32,17,30,0.4337968536247891,0.5072240445549202,18,12,0,-0.2533333333333333,0.10483990423381329,1.0
bbob/32/17/1,32,17,30,0.5728218248049656,0.6160310458103534,16,14,0,-0.09111111111111114,0.3598779272288084,1.0
bbob/32/17/2,32,17,30,0.39198407365016646,0.42862343703827327,19,10,1,-0.050000000000000044,0.3359328511803926,1.0
bbob/32/18/0,32,18,30,0.35657053357546115,0.47921001163189497,21,9,0,-0.31999999999999995,0.01283373311161995,1.0
bbob/32/18/1,32,18,30,0.5744695865564033,0.5326566922314206,9,19,2,0.13777777777777778,0.1648154704539846,1.0
bbob/32/18/2,32,18,30,0.4049694975758557,0.43926064442738677,16,14,0,-0.12,0.4898460879921913,1.0
bbob/32/19/0,32,19,30,0.4462284321739791,0.49694578330672085,20,10,0,-0.16222222222222227,0.22064675763249397,1.0
bbob/32/19/1,32,19,30,0.3927199112258009,0.5138137123130881,19,11,0,-0.24888888888888894,0.0803273618221283,1.0
bbob/32/19/2,32,19,30,0.32875662827910007,0.4954793372542733,22,7,1,-0.4655555555555555,0.0016542055911724842,0.22166354921711287
bbob/32/2/0,32,2,30,0.3710702206038377,0.3557749754589861,13,17,0,0.09111111111111114,0.6554384250193834,1.0
bbob/32/2/1,32,2,30,0.3203591803563787,0.2792441696070819,15,15,0,0.0,0.6408254038542509,1.0
bbob/32/2/2,32,2,30,0.3341202533465922,0.3014439635076916,10,20,0,0.09111111111111114,0.22064675763249397,1.0
bbob/32/20/0,32,20,30,0.4035666347689054,0.42077572380301476,18,12,0,-0.06888888888888889,0.5425279382616282,1.0
bbob/32/20/1,32,20,30,0.4005674756193846,0.37788392621773703,14,15,1,0.05888888888888899,0.6575663850187541,1.0
bbob/32/20/2,32,20,30,0.4570556325778467,0.40431922649991214,14,16,0,0.09555555555555562,0.31839608028531075,1.0
bbob/32/21/0,32,21,30,0.672166692989345,0.6468039823401752,16,13,1,0.05666666666666664,0.5095698444848895,1.0
bbob/32/21/1,32,21,30,0.6488220933648002,0.6030291377225951,15,15,0,0.10888888888888881,0.5027610473334789,1.0
