task,dimension,n_seeds,norm_regret_proposed,norm_regret_baseline,wins,losses,ties,cliffs_delta,raw_p_value,adj_p_value
bbob/16/22/0,16,30,0.756614345696075,0.7810590751706409,18,12,0,-0.13777777777777778,0.19092952087521553,1.0
bbob/16/22/1,16,30,0.6772726977383733,0.7344567172610429,18,12,0,-0.15111111111111108,0.12935307621955872,1.0
bbob/16/22/2,16,30,0.7850866680531502,0.8371811380992198,20,10,0,-0.33111111111111113,0.011303061619400978,0.7120928820222616
bbob/16/23/0,16,30,0.5634008588115769,0.6009198026014847,13,10,7,-0.08333333333333337,0.4842121727230406,1.0
bbob/16/23/1,16,30,0.5436749299487297,0.5300322127943847,9,15,6,0.040000000000000036,0.6891565167793516,1.0
bbob/16/23/2,16,30,0.49783196805698704,0.5505974039880722,11,10,9,-0.13,0.45488884468908175,1.0
bbob/16/24/0,16,30,0.49336244980720884,0.6555895758703554,24,6,0,-0.43999999999999995,0.004031794145703316,0.3104481492191553
bbob/16/24/1,16,30,0.36045843967169644,0.5372353198451666,24,4,2,-0.48888888888888893,0.00045353124193926877,0.046713717919744685
bbob/16/24/2,16,30,0.3476558022335591,0.5514017895764518,23,7,0,-0.47777777777777775,0.0015832837671041489,0.13774568773806095
bbob/16/3/0,16,30,0.3023886561424545,0.41230988163948984,19,11,0,-0.2711111111111111,0.03098480962216854,1.0
bbob/16/3/1,16,30,0.49593674251725617,0.6039086843406217,18,12,0,-0.2577777777777778,0.10039735585451126,1.0
bbob/16/3/2,16,30,0.42857956406165215,0.5936243454811767,23,7,0,-0.4177777777777778,0.00046010687947273254,0.04693090170621872
bbob/16/4/0,16,30,0.3847787864549988,0.5970535479327517,20,9,1,-0.4966666666666667,0.005459684044325266,0.38763756714709385
bbob/16/4/1,16,30,0.42385854421427765,0.5118292768918464,20,10,0,-0.22666666666666668,0.0426517054438591,1.0
bbob/16/4/2,16,30,0.4100134880553376,0.48496922486766325,17,13,0,-0.1711111111111111,0.2621222734451294,1.0
bbob/16/5/0,16,30,0.4581603798959526,0.6230533092286356,22,8,0,-0.45111111111111113,0.0023674946278333664,0.19176706485450268
bbob/16/5/1,16,30,0.2772625400939489,0.5176760900443977,26,4,0,-0.6288888888888888,4.421919584274292e-06,0.0005881153047084808
bbob/16/5/2,16,30,0.38851421095774785,0.6166895616983854,29,1,0,-0.6711111111111111,6.146728992462158e-08,8.728355169296265e-06
bbob/16/6/0,16,30,0.29078738677928395,0.5418335820691305,24,6,0,-0.5866666666666667,5.5925920605659485e-05,0.006711110472679138
bbob/16/6/1,16,30,0.10386838485021617,0.36980265519087346,25,4,1,-0.6566666666666667,4.174619343439777e-05,0.005134781792430925
bbob/16/6/2,16,30,0.2004713731155254,0.4432649168216825,24,6,0,-0.7177777777777778,5.144625902175903e-06,0.0006790906190872192
bbob/16/7/0,16,30,0.2719612367324425,0.4628980337008613,21,9,0,-0.3622222222222222,0.004031794145703316,0.3104481492191553
bbob/16/7/1,16,30,0.3119053639887469,0.5652062079290499,25,5,0,-0.5466666666666666,2.6885420083999634e-05,0.0033606775104999542
bbob/16/7/2,16,30,0.33504349319183435,0.5230793089143733,22,8,0,-0.45111111111111113,0.0050126127898693085,0.3659207336604595
bbob/16/8/0,16,30,0.21592042256641983,0.41002310663186214,21,8,1,-0.49,0.0005628738896812306,0.055161641188760595
bbob/16/8/1,16,30,0.3366620815129247,0.4780174875200799,18,11,1,-0.37222222222222223,0.013291697673508594,0.8240852557575329
bbob/16/8/2,16,30,0.17919935730234013,0.42094623514366797,27,3,0,-0.7666666666666666,4.6566128730773926e-08,6.658956408500671e-06
bbob/16/9/0,16,30,0.24571186637669484,0.5153475640810548,27,2,1,-0.7433333333333334,2.1476619002203304e-05,0.002749007232282023
bbob/16/9/1,16,30,0.1825986021084701,0.39519043825722305,27,2,1,-0.5877777777777777,7.252170003228448e-05,0.008557560603809569
bbob/16/9/2,16,30,0.2817938806217302,0.5077545473722719,25,4,1,-0.6477777777777778,5.513331125702858e-05,0.006671130662100459
bbob/32/1/0,32,30,0.412928736310079,0.5280057222054826,23,7,0,-0.2911111111111111,0.03272089920938015,1.0
bbob/32/1/1,32,30,0.43609134548322814,0.6688358389550717,26,4,0,-0.5711111111111111,7.994472980499268e-06,0.0010392814874649048
bbob/32/1/2,32,30,0.5303432002268366,0.600631172867017,22,8,0,-0.22444444444444445,0.05768792890012264,1.0
