approach,rf_config,global_spearman_true,global_spearman_resid,global_log_pearson_true,global_mse_var,global_rmse_var,global_nlpd_aleatoric,id_only_spearman_true,id_only_spearman_resid,id_only_log_pearson_true,id_only_mse_var,id_only_rmse_var,id_only_nlpd_aleatoric,ood_only_spearman_true,ood_only_spearman_resid,ood_only_log_pearson_true,ood_only_mse_var,ood_only_rmse_var,ood_only_nlpd_aleatoric,ood_id_variance_ratio
standard_ari_var,RF_DeepEnsemble300,0.4615272014835028,0.2728935662527412,0.4414860904052407,0.00782614313592456,0.05432319585859792,0.09338992803465135,0.4826226057753158,0.270563484709109,0.4727256665801068,0.0019999113667014293,0.034452199050777774,-0.040408630298997016,0.02584444262506744,0.08117950280768581,0.026738471601907628,0.031133862731323403,0.08798547500828624,0.6243663069984988,1.135351342996873
standard_ari_var,RF_Default,0.4720180176247982,0.2865517319978904,0.4716812984292525,0.00684778537165523,0.05319880105246995,0.06699900905228677,0.49540803772000636,0.28477672822120603,0.5018173196590809,0.0017226242158408162,0.03388281910092045,-0.07094242382178616,0.03269708622417321,0.09161748338263112,0.033709180967015466,0.02735028131541338,0.08451004656264297,0.6145308516437331,1.1670719991767762
standard_ari_var,RF_Overfit_Leaf1,0.432362752254941,0.268896195928104,0.4331226748930374,0.011436335398982504,0.07366227943572894,0.4071194296792032,0.44876318562762807,0.2671572929300616,0.45551691629732266,0.004458405875305661,0.05318656792886065,0.16534859121774623,0.03710205522150134,0.07007834554926065,0.03772980514644617,0.03933856522492932,0.10484589025387274,1.3657859157950223,1.163044900826917
standard_ari_var,RF_Shallow,0.34785488991715796,0.218657712426471,0.31065613902688044,0.012773328732624415,0.07293035877591982,0.19659344942466878,0.3635040424556914,0.2181371137479195,0.32765044371437235,0.00484683139121697,0.051888641046876405,0.054750971079230215,0.004444549312917957,0.08131295103594384,0.0048994437053286755,0.04447851034874465,0.11050282955936513,0.7603620516679264,1.0216242594104332
standard_ari_var,RF_Smoothed_Leaf15,0.4750789669991092,0.28742057468599364,0.4714093808375951,0.006009354488059494,0.04789519756091064,0.06031078676787938,0.5021712296953791,0.28767242850289687,0.5063964318014937,0.001293444675462388,0.028351237821102413,-0.06752054054638902,0.027417937637707442,0.09724957847862015,0.027751958816173594,0.024872607319435674,0.08053104743453139,0.5677259452386396,1.142875885135065
standard_disagreement,RF_DeepEnsemble300,0.3662759188706033,0.23225130545703845,0.361228276205556,0.021603850766053055,0.10597687140088924,5.068217481936445,0.3763761159920146,0.22456382704100747,0.3751968985959275,0.011565787098418674,0.08374617645606083,4.427020383445958,0.013343113000190102,0.0687092047105252,0.014338859328261995,0.061725974507016924,0.1379751763780826,7.608869432875359,1.1646748072737583
standard_disagreement,RF_Default,0.4435041846602656,0.2748679445449915,0.4447388285759989,0.011801774311320087,0.07354935977337573,0.6086189232801618,0.4666684304882484,0.2706731894827217,0.473457942226058,0.004498091510176913,0.052372857081570225,0.15895450297753852,0.024718417281307182,0.08131285438266177,0.02629268350880454,0.040982858551061804,0.10627815008727082,2.381450562239407,1.2055868464300559
standard_disagreement,RF_Overfit_Leaf1,0.4232625071655916,0.26828457953604296,0.4225613538379213,0.007067186155927735,0.060576305208846375,0.49259985596627853,0.4370984547748259,0.2622327709774672,0.442230759832732,0.00323555126557223,0.04503597002228073,0.35248292853482194,0.03591985746958251,0.0681736467892112,0.03572166441769536,0.022379347331182974,0.08660907124910469,1.0481059214554576,1.192830059858052
standard_disagreement,RF_Shallow,0.2123548837637953,0.12701076311416645,0.20571923660738678,0.029506853077790225,0.12521497056951816,141.25168261844817,0.2171637458441025,0.12251011040292789,0.20844805715859405,0.01692257349225562,0.10173961073701368,129.33666626741038,0.0005341878955834405,0.029411884877024765,0.0006306718207960045,0.07981019282100296,0.1572162030177014,188.87927401121874,0.9663138896453604
standard_disagreement,RF_Smoothed_Leaf15,0.42632826610747754,0.2510656098554028,0.4255880083222051,0.020260558974622377,0.10142182508944238,1.8495732981692372,0.4508924840673376,0.255738554700046,0.4557444047483616,0.010141372363333569,0.07891666594195901,0.8206307658496559,0.021853451182430046,0.06297997904857838,0.022936875414910265,0.06069698091478187,0.13241777129105,5.9057118621557905,1.130593735005115
