task,dimension,n_seeds,norm_regret_proposed,norm_regret_baseline,wins,losses,ties,cliffs_delta,raw_p_value,adj_p_value
bbob/32/16/1,16,30,0.5672144075139136,0.6482865336552792,17,8,5,-0.2433333333333333,0.09263052317984789,1.0
bbob/32/16/2,16,30,0.6094845948387221,0.637787878642195,14,9,7,-0.01666666666666672,0.5230089917974712,1.0
bbob/32/17/0,32,30,0.36224866504843156,0.5524616951465086,26,3,1,-0.63,6.5306818420991045e-06,0.0006651746975835256
bbob/32/17/1,32,30,0.43967509026006,0.5947850073852777,22,8,0,-0.4177777777777778,0.0006084088236093521,0.03224566765129566
bbob/32/17/2,32,30,0.3971568245645104,0.5550133794443808,23,6,1,-0.3766666666666667,0.0036337564975753973,0.14171650340544048
bbob/32/18/0,32,30,0.37548709368406374,0.5873145391215967,27,3,0,-0.6044444444444445,2.7623027563095093e-06,0.000298328697681427
bbob/32/18/1,32,30,0.3553451614215454,0.586477571456587,24,4,2,-0.5711111111111111,0.00011890609974290849,0.007966708682774869
bbob/32/18/2,32,30,0.2920540681008994,0.3787504854009009,22,7,1,-0.2766666666666666,0.014990431977029234,0.41973209535681855
bbob/32/19/0,32,30,0.48268023558871004,0.6071538328027128,21,8,1,-0.3122222222222222,0.007100609066184297,0.24852131731645039
bbob/32/19/1,32,30,0.365796051769365,0.5971753974159244,25,4,1,-0.5700000000000001,0.00016113557960971867,0.010151541515412275
bbob/32/19/2,32,30,0.36242626671141026,0.5868287864932284,26,4,0,-0.5822222222222222,8.326023817062378e-07,9.658187627792358e-05
bbob/32/2/0,32,30,0.24780216667383778,0.5236558191102129,28,2,0,-0.7111111111111111,2.551823854446411e-07,3.240816295146942e-05
bbob/32/2/1,32,30,0.20759340586833297,0.36397892288562433,21,9,0,-0.45999999999999996,0.001038169488310814,0.051908474415540695
bbob/32/2/2,32,30,0.2708819142277539,0.5148726423280905,27,3,0,-0.6777777777777778,2.551823854446411e-07,3.240816295146942e-05
bbob/32/20/0,32,30,0.34085736135548317,0.516984010042646,24,5,1,-0.4922222222222222,0.0002472104677189815,0.014338207127700925
bbob/32/20/1,32,30,0.40698894927746454,0.6430389374852044,23,7,0,-0.56,7.056817412376404e-05,0.005433749407529831
bbob/32/20/2,32,30,0.3317860442761856,0.5636203083626691,26,4,0,-0.5333333333333333,7.994472980499268e-06,0.0007914528250694275
bbob/32/21/0,32,30,0.5556302677979187,0.7051435706827868,24,6,0,-0.4311111111111111,0.001718590036034584,0.07733655162155628
bbob/32/21/1,32,30,0.5939463180913856,0.760707609164069,26,4,0,-0.48444444444444446,4.4075772166252136e-05,0.003614213317632675
bbob/32/21/2,32,30,0.5674558688490056,0.7054080871252104,25,5,0,-0.31999999999999995,0.0006665531545877457,0.03399421088397503
bbob/32/22/0,32,30,0.6607825950669903,0.7454696562241285,20,10,0,-0.3088888888888889,0.012047622352838516,0.34938104823231697
bbob/32/22/1,32,30,0.6735443585958125,0.7508212317258415,21,9,0,-0.31999999999999995,0.02084985189139843,0.4795465935021639
bbob/32/22/2,32,30,0.7217093479980433,0.8107683379996082,20,10,0,-0.40222222222222226,0.018529480323195457,0.46323700807988644
bbob/32/23/0,32,30,0.564710781620168,0.6193767845341305,10,9,11,-0.14111111111111108,0.44450890263539566,1.0
bbob/32/23/1,32,30,0.6675269515923283,0.6367809996392473,6,13,11,0.08333333333333326,0.19783306556714142,1.0
bbob/32/23/2,32,30,0.5886014327677818,0.5333853783035131,9,12,9,0.24555555555555553,0.1592244176320513,1.0
bbob/32/24/0,32,30,0.4286963013302207,0.5783975680780117,20,9,1,-0.33666666666666667,0.004775081659652943,0.17667802140715888
bbob/32/24/1,32,30,0.41365945211175387,0.5126863554952092,19,10,1,-0.21444444444444444,0.045484489171984846,0.9096897834396969
bbob/32/24/2,32,30,0.42932297379653456,0.5888706818065266,18,9,3,-0.3277777777777777,0.001647999596728128,0.07599762082099915
bbob/32/3/0,32,30,0.2954786141089005,0.5746709300401278,27,3,0,-0.6511111111111111,1.30385160446167e-07,1.695007085800171e-05
bbob/32/3/1,32,30,0.29295540859590374,0.5236345526711439,27,3,0,-0.7022222222222223,6.910413503646851e-07,8.223392069339752e-05
bbob/32/3/2,32,30,0.38996297311375144,0.6648732311619265,27,3,0,-0.7088888888888889,5.718320608139038e-07,6.919167935848236e-05
bbob/32/4/0,32,30,0.4091939355082396,0.549086965757752,18,12,0,-0.4111111111111111,0.00993151031434536,0.3125426252413386
