task,optimizer,optimizer_name,seed,n_trials,final_incumbent_regret,best_y_true,mean_eval_time
ackley_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,6,50,2.6324711424166805,2.6324711424166805,0.0006214094161987305
ackley_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,7,50,3.1604869121748718,3.1604869121748718,0.0007396173477172851
ackley_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,8,50,3.4832124227613126,3.4832124227613126,0.0006263637542724609
ackley_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,9,50,2.4572689503742535,2.4572689503742535,0.0007287931442260743
ackley_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,10,50,1.3195846187726663,1.3195846187726663,0.0006080102920532226
ackley_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,11,50,0.5566545781717704,0.5566545781717704,0.0005980730056762695
ackley_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,12,50,0.3398075387774644,0.3398075387774644,0.000583343505859375
ackley_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,13,50,2.5991847373857913,2.5991847373857913,0.0005882692337036133
ackley_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,14,50,3.200931364193359,3.200931364193359,0.0005468606948852539
ackley_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,15,50,3.2096248498562514,3.2096248498562514,0.000632009506225586
ackley_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,16,50,2.6808423681060707,2.6808423681060707,0.0005420446395874023
ackley_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,17,50,2.623696882750281,2.623696882750281,0.0006150531768798828
ackley_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,18,50,1.2122944192912546,1.2122944192912546,0.0006050968170166016
ackley_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,19,50,2.6575527618635815,2.6575527618635815,0.0005969810485839844
ackley_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,20,50,1.0189810438094864,1.0189810438094864,0.0005610847473144532
ackley_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,21,50,0.4500950098653935,0.4500950098653935,0.0006156778335571289
ackley_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,22,50,1.378682467487018,1.378682467487018,0.0006387805938720703
ackley_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,23,50,0.3883047462682936,0.3883047462682936,0.0006249237060546875
ackley_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,24,50,0.22564308676088674,0.22564308676088674,0.0005943870544433594
ackley_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,25,50,2.945413891444073,2.945413891444073,0.0005443143844604492
ackley_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,26,50,3.1894986527693594,3.1894986527693594,0.0006184673309326172
ackley_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,27,50,3.460317324958105,3.460317324958105,0.000603494644165039
ackley_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,28,50,1.318105903340467,1.318105903340467,0.0005877971649169922
ackley_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,29,50,1.0455987163900038,1.0455987163900038,0.000548257827758789
ackley_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,30,50,0.47108172533936044,0.47108172533936044,0.0006081008911132812
rosenbrock_2d,baseline,SMAC3 Baseline (EI),1,50,0.16170236000681124,0.16170236000681124,0.0005858755111694336
rosenbrock_2d,baseline,SMAC3 Baseline (EI),2,50,2.676331837222073,2.676331837222073,0.0005394172668457031
rosenbrock_2d,baseline,SMAC3 Baseline (EI),3,50,1.192062017354777,1.192062017354777,0.0005298566818237305
rosenbrock_2d,baseline,SMAC3 Baseline (EI),4,50,2.163700888474152,2.163700888474152,0.0005610370635986328
rosenbrock_2d,baseline,SMAC3 Baseline (EI),5,50,10.078799259768463,10.078799259768463,0.0005247020721435547
rosenbrock_2d,baseline,SMAC3 Baseline (EI),6,50,3.516006964364792,3.516006964364792,0.0005269289016723633
rosenbrock_2d,baseline,SMAC3 Baseline (EI),7,50,0.7978567119105703,0.7978567119105703,0.000555572509765625
rosenbrock_2d,baseline,SMAC3 Baseline (EI),8,50,0.16920358111255654,0.16920358111255654,0.0005163240432739258
rosenbrock_2d,baseline,SMAC3 Baseline (EI),9,50,0.6092595744622062,0.6092595744622062,0.0005453968048095703
rosenbrock_2d,baseline,SMAC3 Baseline (EI),10,50,0.035331854238418406,0.035331854238418406,0.0004625701904296875
rosenbrock_2d,baseline,SMAC3 Baseline (EI),11,50,6.92032740936125,6.92032740936125,0.0005399322509765625
rosenbrock_2d,baseline,SMAC3 Baseline (EI),12,50,1.2311529010931839,1.2311529010931839,0.0005174922943115234
rosenbrock_2d,baseline,SMAC3 Baseline (EI),13,50,1.4219135819876025,1.4219135819876025,0.0005392932891845703
rosenbrock_2d,baseline,SMAC3 Baseline (EI),14,50,4.067494877539697,4.067494877539697,0.0005661535263061523
rosenbrock_2d,baseline,SMAC3 Baseline (EI),15,50,9.292413788450174,9.292413788450174,0.0005829620361328125
rosenbrock_2d,baseline,SMAC3 Baseline (EI),16,50,0.5130972175113551,0.5130972175113551,0.0005684041976928711
rosenbrock_2d,baseline,SMAC3 Baseline (EI),17,50,0.06169365460310043,0.06169365460310043,0.0005561304092407226
rosenbrock_2d,baseline,SMAC3 Baseline (EI),18,50,2.1915473189736137,2.1915473189736137,0.0004882001876831055
rosenbrock_2d,baseline,SMAC3 Baseline (EI),19,50,4.123927466209307,4.123927466209307,0.0005358314514160156
rosenbrock_2d,baseline,SMAC3 Baseline (EI),20,50,1.741284384330248,1.741284384330248,0.0005199241638183593
rosenbrock_2d,baseline,SMAC3 Baseline (EI),21,50,6.245396359489179,6.245396359489179,0.0005233335494995117
rosenbrock_2d,baseline,SMAC3 Baseline (EI),22,50,34.555507747495525,34.555507747495525,0.0005182886123657227
rosenbrock_2d,baseline,SMAC3 Baseline (EI),23,50,0.38482940481645816,0.38482940481645816,0.0005267429351806641
rosenbrock_2d,baseline,SMAC3 Baseline (EI),24,50,1.279921786447056,1.279921786447056,0.0005617809295654297
rosenbrock_2d,baseline,SMAC3 Baseline (EI),25,50,4.092981834547079,4.092981834547079,0.0005285453796386719
rosenbrock_2d,baseline,SMAC3 Baseline (EI),26,50,7.51324099357646,7.51324099357646,0.0005697965621948242
rosenbrock_2d,baseline,SMAC3 Baseline (EI),27,50,0.2992223259798235,0.2992223259798235,0.0006120634078979492
rosenbrock_2d,baseline,SMAC3 Baseline (EI),28,50,0.41203947639120475,0.41203947639120475,0.0005711030960083008
rosenbrock_2d,baseline,SMAC3 Baseline (EI),29,50,0.918322638638687,0.918322638638687,0.0007933616638183594
rosenbrock_2d,baseline,SMAC3 Baseline (EI),30,50,2.99348207720644,2.99348207720644,0.0005842256546020508
rosenbrock_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,1,50,3.9546831100833093,3.9546831100833093,0.0005606937408447265
rosenbrock_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,2,50,1.831432763610477,1.831432763610477,0.0004708480834960938
rosenbrock_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,3,50,2.2302542861787185,2.2302542861787185,0.0005372858047485351
rosenbrock_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,4,50,1.2321396999931855,1.2321396999931855,0.0005529975891113281
rosenbrock_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,5,50,9.992045396915138,9.992045396915138,0.0005566310882568359
rosenbrock_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,6,50,3.516006964364792,3.516006964364792,0.0005164051055908203
