task,optimizer,optimizer_name,seed,trial,cost,y_true,sigma_true,instantaneous_regret,incumbent_regret,noise_residual,time,config
ackley_2d,baseline,SMAC3 Baseline (EI),1,50,4.598355192854774,4.663289773018395,0.2537039194964179,4.663289773018395,3.617753254172016,-0.0649345801636211,0.0004088878631591797,"[0.5053470879052, -1.0065518614666]"
ackley_2d,baseline,SMAC3 Baseline (EI),2,1,10.487310864351237,10.749366248846393,0.546692040256299,10.749366248846393,10.749366248846393,-0.2620553844951567,0.0008211135864257812,"[1.9273118581623, -4.9654443282634]"
ackley_2d,baseline,SMAC3 Baseline (EI),2,2,5.82169327202854,6.678234171540023,0.348564239595533,6.678234171540023,6.678234171540023,-0.8565408995114826,0.000759124755859375,"[-1.2486466765404, 1.3896200433373]"
ackley_2d,baseline,SMAC3 Baseline (EI),2,3,12.189641078145593,11.359795806138724,0.57672558629986,11.359795806138724,6.678234171540023,0.8298452720068685,0.0006296634674072266,"[-4.6299921907485, -0.9192243311554]"
ackley_2d,baseline,SMAC3 Baseline (EI),2,4,11.582256636732218,11.182157561666786,0.5679802983685739,11.182157561666786,6.678234171540023,0.40009907506543185,0.0006711483001708984,"[3.4434367064387, 2.9307080060244]"
ackley_2d,baseline,SMAC3 Baseline (EI),2,5,11.299131049726668,11.592005861037093,0.5881636674479271,11.592005861037093,6.678234171540023,-0.29287481131042525,0.0005896091461181641,"[4.0842046868056, -2.4692540429533]"
ackley_2d,baseline,SMAC3 Baseline (EI),2,6,11.000225676694466,11.074430780553081,0.56267889846977,11.074430780553081,6.678234171540023,-0.07420510385861584,0.0006530284881591797,"[-2.7416680380702, 3.895269902423]"
ackley_2d,baseline,SMAC3 Baseline (EI),2,7,9.878945047070836,10.320598883419713,0.5256300060699642,10.320598883419713,6.678234171540023,-0.441653836348876,0.0006368160247802734,"[-1.8505807034671, -3.4233399666846]"
ackley_2d,baseline,SMAC3 Baseline (EI),2,8,2.9844571684333987,2.9536109840668385,0.17835230475943029,2.9536109840668385,2.9536109840668385,0.030846184366560177,0.0005860328674316406,"[0.0778215844184, 0.436664680019]"
ackley_2d,baseline,SMAC3 Baseline (EI),2,9,3.5729420461505663,3.6285740896623015,0.207162677165607,3.6285740896623015,2.9536109840668385,-0.05563204351173506,0.0005905628204345703,"[0.7553297095001, -0.2011417225003]"
ackley_2d,baseline,SMAC3 Baseline (EI),2,10,10.879211480288228,11.373963307068024,0.5774232444891048,11.373963307068024,2.9536109840668385,-0.4947518267797958,0.0005939006805419922,"[-2.4206288065761, 3.5023077856749]"
ackley_2d,baseline,SMAC3 Baseline (EI),2,11,12.85197976448328,12.648911310323879,0.6403025795208844,12.648911310323879,2.9536109840668385,0.20306845415940097,0.0006561279296875,"[-3.301988625899, -4.2852023243904]"
ackley_2d,baseline,SMAC3 Baseline (EI),2,12,11.657432515161076,11.390581500499458,0.5782416167129457,11.390581500499458,2.9536109840668385,0.2668510146616184,0.0006177425384521484,"[4.7714402526617, 1.92337683402]"
ackley_2d,baseline,SMAC3 Baseline (EI),2,13,4.249842539128905,4.186960879522214,0.232005610959355,4.186960879522214,2.9536109840668385,0.06288165960669106,0.0006654262542724609,"[0.4351755584222, 0.5338818257507]"
ackley_2d,baseline,SMAC3 Baseline (EI),2,14,9.832813776417716,10.486194862587116,0.5337609078420515,10.486194862587116,2.9536109840668385,-0.6533810861694002,0.0005092620849609375,"[4.2809767805481, -1.0101872848485]"
ackley_2d,baseline,SMAC3 Baseline (EI),2,15,2.7836688973556205,3.197170147762155,0.18855965205831735,3.197170147762155,2.9536109840668385,-0.4135012504065342,0.0005345344543457031,"[0.8508322512022, 0.146487127638]"
ackley_2d,baseline,SMAC3 Baseline (EI),2,16,4.328504275293336,4.217217291130989,0.233371601103338,4.217217291130989,2.9536109840668385,0.11128698416234675,0.0006306171417236328,"[0.8127747857372, 0.3656001537485]"
ackley_2d,baseline,SMAC3 Baseline (EI),2,17,4.688334128365532,4.420813284422891,0.242608687477025,4.420813284422891,2.9536109840668385,0.2675208439426403,0.0005662441253662109,"[0.8595814106885, 0.4461052941546]"
ackley_2d,baseline,SMAC3 Baseline (EI),2,18,4.280884311510127,4.200176611549178,0.2326020398029902,4.200176611549178,2.9536109840668385,0.08070769996094887,0.00038051605224609375,"[0.5131560367528, 0.4595003990822]"
ackley_2d,baseline,SMAC3 Baseline (EI),2,19,4.706920568407332,4.5273073052526875,0.2474697528799952,4.5273073052526875,2.9536109840668385,0.17961326315464457,0.0005280971527099609,"[0.8063483562254, 0.6811166436926]"
ackley_2d,baseline,SMAC3 Baseline (EI),2,20,3.6758526857259253,3.870463746548229,0.21783301869404553,3.870463746548229,2.9536109840668385,-0.1946110608223037,0.0005466938018798828,"[0.8739049795613, 0.2824491998167]"
ackley_2d,baseline,SMAC3 Baseline (EI),2,21,4.564961160876626,4.16547830074752,0.23103684486461487,4.16547830074752,2.9536109840668385,0.3994828601291068,0.0003495216369628906,"[0.833633748817, -0.3513331908405]"
ackley_2d,baseline,SMAC3 Baseline (EI),2,22,3.9189865218587383,4.223292320977979,0.23364608935541575,4.223292320977979,2.9536109840668385,-0.304305799119241,0.0006320476531982422,"[0.853325989375, -0.3702477690562]"
ackley_2d,baseline,SMAC3 Baseline (EI),2,23,4.380093334508205,4.231355301036924,0.2340105108943468,4.231355301036924,2.9536109840668385,0.1487380334712809,0.000568389892578125,"[0.8534282897542, -0.372800924048]"
ackley_2d,baseline,SMAC3 Baseline (EI),2,24,4.387187131247288,4.136762244543792,0.22974334521310402,4.136762244543792,2.9536109840668385,0.25042488670349516,0.0006041526794433594,"[0.861585827752, -0.3452150243763]"
ackley_2d,baseline,SMAC3 Baseline (EI),2,25,9.549595682241987,9.21678109597089,0.4715640300400529,9.21678109597089,2.9536109840668385,0.3328145862710975,0.00043010711669921875,"[-3.3879316692969, -0.0315989290425]"
ackley_2d,baseline,SMAC3 Baseline (EI),2,26,3.915456849901884,4.1030102168892135,0.22822517849646473,4.1030102168892135,2.9536109840668385,-0.18755336698732994,0.0005400180816650391,"[0.840088895352, -0.3342377563833]"
ackley_2d,baseline,SMAC3 Baseline (EI),2,27,12.813052168281544,12.064328976305823,0.6114491672423235,12.064328976305823,2.9536109840668385,0.7487231919757202,0.0006132125854492188,"[-3.846406048321, -3.7401104871061]"
ackley_2d,baseline,SMAC3 Baseline (EI),2,28,4.409005619095067,4.190739312343268,0.2321760968748685,4.190739312343268,2.9536109840668385,0.21826630675179914,0.0006613731384277344,"[0.8504825765373, -0.3601129392001]"
ackley_2d,baseline,SMAC3 Baseline (EI),2,29,3.044469117650243,2.769053769214118,0.1707897741142522,2.769053769214118,2.769053769214118,0.27541534843612503,0.0006136894226074219,"[0.8508322512022, -0.0016890701281]"
ackley_2d,baseline,SMAC3 Baseline (EI),2,30,4.1481526739501895,4.343649938680461,0.23909880170025305,4.343649938680461,2.769053769214118,-0.19549726473027085,0.0004267692565917969,"[-0.8213034688364, 0.4118832939091]"
ackley_2d,baseline,SMAC3 Baseline (EI),2,31,4.37028355160794,4.348248653763228,0.23930768037692465,4.348248653763228,2.769053769214118,0.02203489784471238,0.0005145072937011719,"[-0.8757316429635, 0.4134585480891]"
