dim,gap_type,approach,auroc,fpr95,aupr,spearman,aurc,oracle_aurc,jsd,mi,nlpd,brier
12,empty,distance_evidential,0.11637095238095238,0.9904285714285714,0.17856512522559365,0.23606193686193686,0.227024856452884,0.07161267272383648,0.42061526717181585,0.3941240406539085,1.2875952634078616,0.25516509358707395
12,empty,standard_disagreement,0.15401666666666666,0.9922857142857143,0.1831689497365911,0.27082091482091486,0.20714800965122585,0.07161267272383648,0.3410215419137944,0.3174229593311304,1.21224845377485,0.2825957505611743
12,sparse,distance_evidential,0.025030000000000004,1.0,0.16908002755287538,0.2286740790740791,0.2193758430675176,0.07382334177933332,0.7842270523101857,0.7935595316559141,1.2633623066898336,0.2821232726837006
12,sparse,standard_disagreement,0.23339619047619048,0.9901428571428571,0.19768866233737542,0.30850684930684935,0.19502127403515196,0.07382334177933332,0.22372044018363732,0.20350449937344886,1.2051745391601427,0.27113529778313206
13,empty,distance_evidential,0.11418285714285714,0.9892857142857142,0.17823146211257895,0.1717912513912514,0.24412968059704188,0.06813731385605531,0.4200562564821545,0.3955806038074747,1.3197684114226607,0.24792311410933943
13,empty,standard_disagreement,0.15855666666666668,0.9965714285714287,0.18361268995896088,0.21461903621903625,0.22311892900107497,0.06813731385605531,0.32381646889135773,0.30559106566588806,1.3453004518396134,0.2810263097093594
13,sparse,distance_evidential,0.027597619047619048,1.0,0.16952052958466213,0.14740103500103502,0.2419923240639265,0.0705824867298585,0.8026607896614273,0.8110949681313876,1.3004645231688472,0.2782402934341435
13,sparse,standard_disagreement,0.29293857142857144,0.9708571428571429,0.21428648000981454,0.2592495540495541,0.2011741951830634,0.0705824867298585,0.18578157583237234,0.16560715005698876,1.2801029264893398,0.26481330033273603
14,empty,distance_evidential,0.08617904761904763,0.9908571428571429,0.17526826176431748,0.1878723690723691,0.19527935037699878,0.060860730299248655,0.4900753170781812,0.46325297689774986,1.2077808783510822,0.24720111342091572
14,empty,standard_disagreement,0.13201666666666667,0.9977142857142857,0.1794462767509502,0.22512498912498913,0.181214798186706,0.060860730299248655,0.3724173898119907,0.3538036343843721,1.0903599732680418,0.28631707789568156
14,sparse,distance_evidential,0.027919523809523818,1.0,0.16937485791787937,0.20104332184332185,0.18916105973187336,0.06209130556189953,0.8218449348562304,0.8370143567264909,1.1685114252713646,0.2792698082614185
14,sparse,standard_disagreement,0.23828238095238094,0.9918571428571429,0.20135303411001812,0.26575470655470657,0.17050711095514454,0.06209130556189953,0.22092091567578062,0.20434265956772535,1.0649253551118483,0.2719264869499094
15,empty,distance_evidential,0.06773095238095238,0.9902857142857142,0.1740520813787291,0.16656638376638377,0.22424780000275318,0.05915817355708266,0.539965804097964,0.5103655175757263,1.3079812239290782,0.24417214197764991
15,empty,standard_disagreement,0.10319285714285713,0.9981428571428571,0.17628970009368417,0.20545662865662867,0.20114209645094383,0.05915817355708266,0.4115881068514705,0.3880034268262115,1.4163536434945885,0.28901422692035295
15,sparse,distance_evidential,0.008654285714285715,1.0,0.1684482683188512,0.15805022965022966,0.21055686691504288,0.05939001908813111,0.914649116481109,0.9212172646727357,1.28180900161987,0.27128386431099827
15,sparse,standard_disagreement,0.24917857142857142,0.9785714285714286,0.20192923648032773,0.24082307242307244,0.17894791767812485,0.05939001908813111,0.21045422775767597,0.18874773613017554,1.3064762865850814,0.2755420366913996
